4/5 14:24:51.193  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,534,0,nil
4/5 14:24:51.339  SPELL_PERIODIC_HEAL,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,630,623,0,nil
4/5 14:24:51.344  SPELL_DAMAGE,0x000000000013B13C,"Nundo",0x512,0xF130005E49000018,"Dark Ranger Marrah",0xa48,42897,"Arcane Blast",0x40,5235,3112,64,0,0,0,nil,nil,nil
4/5 14:24:51.344  PARTY_KILL,0x0000000000117351,"Ironmate",0x511,0xF130005E49000018,"Dark Ranger Marrah",0xa48
4/5 14:24:51.344  SPELL_AURA_REMOVED,0x0000000000160F5B,"Histera",0x512,0xF130005E49000018,"Dark Ranger Marrah",0xa48,55095,"Frost Fever",0x10,DEBUFF
4/5 14:24:51.350  SPELL_AURA_APPLIED,0x000000000013B13C,"Nundo",0x512,0x000000000013B13C,"Nundo",0x512,36032,"Arcane Blast",0x40,DEBUFF
4/5 14:24:51.350  SPELL_AURA_APPLIED,0x000000000013B13C,"Nundo",0x512,0x000000000013B13C,"Nundo",0x512,44401,"Missile Barrage",0x40,BUFF
4/5 14:24:51.350  UNIT_DIED,0x0000000000000000,nil,0x80000000,0xF130005E49000018,"Dark Ranger Marrah",0xa48
4/5 14:24:51.734  SPELL_CAST_SUCCESS,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0x0000000000117351,"Ironmate",0x511,59607,"Heroic Strike",0x1
4/5 14:24:51.734  SPELL_MISSED,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0x0000000000117351,"Ironmate",0x511,59607,"Heroic Strike",0x1,PARRY
4/5 14:24:51.737  SPELL_ENERGIZE,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,23602,"Shield Specialization",0x1,5,1
4/5 14:24:51.890  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,57823,"Revenge",0x1,"Out of range"
4/5 14:24:51.890  SPELL_AURA_APPLIED,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,57516,"Enrage",0x1,BUFF
4/5 14:24:52.041  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48443,"Regrowth",0x8,1350,1350,0,nil
4/5 14:24:52.181  SPELL_CAST_SUCCESS,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,57823,"Revenge",0x1
4/5 14:24:52.182  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,57823,"Revenge",0x1,3858,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.182  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,57823,"Revenge",0x1,3688,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.182  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,534,0,nil
4/5 14:24:52.294  SPELL_PERIODIC_HEAL,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,630,0,0,nil
4/5 14:24:52.294  SPELL_CAST_SUCCESS,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,0x0000000000117351,"Ironmate",0x511,59607,"Heroic Strike",0x1
4/5 14:24:52.294  SPELL_DAMAGE,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,0x0000000000117351,"Ironmate",0x511,59607,"Heroic Strike",0x1,3787,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.295  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,59653,"Damage Shield",0x1,229,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.317  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,57823,"Revenge",0x1,"Not yet recovered"
4/5 14:24:52.404  SPELL_CAST_SUCCESS,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,47520,"Cleave",0x1
4/5 14:24:52.405  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,47520,"Cleave",0x1,696,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.405  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,47520,"Cleave",0x1,680,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.531  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,57823,"Revenge",0x1,"Not yet recovered"
4/5 14:24:52.559  SPELL_CAST_SUCCESS,0x000000000013B13C,"Nundo",0x512,0x0000000000000000,nil,0x80000000,1953,"Blink",0x40
4/5 14:24:52.559  SPELL_AURA_APPLIED,0x000000000013B13C,"Nundo",0x512,0x000000000013B13C,"Nundo",0x512,1953,"Blink",0x40,BUFF
4/5 14:24:52.723  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,57823,"Revenge",0x1,"Not yet recovered"
4/5 14:24:52.823  SPELL_CAST_SUCCESS,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,0x0000000000117351,"Ironmate",0x511,59606,"Ringing Slap",0x1
4/5 14:24:52.823  SPELL_DAMAGE,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,0x0000000000117351,"Ironmate",0x511,59606,"Ringing Slap",0x1,1734,0,1,0,0,0,nil,nil,nil
4/5 14:24:52.823  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,59653,"Damage Shield",0x1,229,0,1,0,0,0,nil,nil,nil
4/5 14:24:53.085  SPELL_CAST_SUCCESS,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0x0000000000117351,"Ironmate",0x511,59606,"Ringing Slap",0x1
4/5 14:24:53.085  SPELL_DAMAGE,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0x0000000000117351,"Ironmate",0x511,59606,"Ringing Slap",0x1,1588,0,1,0,0,0,nil,nil,nil
4/5 14:24:53.091  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,59653,"Damage Shield",0x1,229,0,1,0,0,0,nil,nil,nil
4/5 14:24:53.244  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,0,0,nil
4/5 14:24:53.244  SPELL_PERIODIC_HEAL,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,630,0,0,nil
4/5 14:24:53.244  SPELL_AURA_REMOVED,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,BUFF
4/5 14:24:53.542  SPELL_AURA_REMOVED,0x000000000013B13C,"Nundo",0x512,0x000000000013B13C,"Nundo",0x512,1953,"Blink",0x40,BUFF
4/5 14:24:53.788  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48441,"Rejuvenation",0x8,2577,0,0,nil
4/5 14:24:53.794  SPELL_ENERGIZE,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48541,"Revitalize",0x8,4,1
4/5 14:24:54.303  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,0,0,nil
4/5 14:24:54.695  SWING_DAMAGE,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0x0000000000117351,"Ironmate",0x511,1982,0,1,0,0,0,nil,nil,nil
4/5 14:24:54.695  DAMAGE_SHIELD,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,53307,"Thorns",0x8,197,0,8,0,0,0,nil,nil,nil
4/5 14:24:54.695  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,59653,"Damage Shield",0x1,229,0,1,0,0,0,nil,nil,nil
4/5 14:24:54.696  SWING_DAMAGE,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,0x0000000000117351,"Ironmate",0x511,2059,0,1,0,0,0,nil,nil,nil
4/5 14:24:54.696  DAMAGE_SHIELD,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,53307,"Thorns",0x8,197,0,8,0,0,0,nil,nil,nil
4/5 14:24:54.696  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,59653,"Damage Shield",0x1,229,0,1,0,0,0,nil,nil,nil
4/5 14:24:54.834  SPELL_CAST_SUCCESS,0x0000000000160F5B,"Histera",0x512,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,49909,"Icy Touch",0x10
4/5 14:24:54.834  SPELL_DAMAGE,0x0000000000160F5B,"Histera",0x512,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,49909,"Icy Touch",0x10,920,0,16,0,0,0,nil,nil,nil
